#OutID       RAout       DECout      mag_out     InID        RAin        DECin       mag_in      r           f(r)        df          f(df)       q(m)        n(m)        LR          Rel         flag        
171          53.034431   -27.698121  0.0000      940650      53.034481   -27.698288  26.1710     0.626       9.168e-02   0.000e+00   1.000e+00   1.279e-01   3.825e-03   3.066e+00   0.920       1           
174          53.035535   -27.780029  0.0000      933965      53.035599   -27.780147  20.7503     0.484       3.623e-01   0.000e+00   1.000e+00   7.045e-02   2.028e-04   1.259e+02   0.998       1           
175          53.036121   -27.792852  0.0000      933048      53.036132   -27.792944  19.2608     0.334       1.049e+00   0.000e+00   1.000e+00   2.928e-02   5.527e-05   5.555e+02   1.000       1           
176          53.036199   -27.752291  0.0000      936050      53.036220   -27.752311  25.2422     0.105       2.511e+00   0.000e+00   1.000e+00   1.581e-01   3.552e-03   1.118e+02   0.998       1           
177          53.036405   -27.849522  0.0000      746809      53.036623   -27.849656  23.9239     0.920       1.793e-03   0.000e+00   1.000e+00   1.742e-01   2.233e-03   1.398e-01   0.344       1           
178          53.036494   -27.665509  0.0000      930787      53.036468   -27.665542  26.3514     0.150       2.271e+00   0.000e+00   1.000e+00   1.211e-01   3.780e-03   7.275e+01   0.996       1           
179          53.036906   -27.785200  0.0000      933455      53.037050   -27.785291  27.0980     0.614       1.053e-01   0.000e+00   1.000e+00   9.138e-02   3.276e-03   2.937e+00   0.917       1           
181          53.037527   -27.974657  0.0000      746941      53.037557   -27.974629  24.7094     0.146       2.295e+00   0.000e+00   1.000e+00   1.694e-01   3.089e-03   1.259e+02   0.998       1           
184          53.038494   -27.862018  0.0000      757649      53.038466   -27.862172  24.4885     0.564       1.755e-01   0.000e+00   1.000e+00   1.723e-01   2.859e-03   1.058e+01   0.975       1           
185          53.039227   -27.799387  0.0000      932458      53.039442   -27.799273  25.4790     0.875       3.613e-03   0.000e+00   1.000e+00   1.514e-01   3.696e-03   1.480e-01   0.357       1           
186          53.039401   -27.801862  0.0000      932310      53.039400   -27.801948  21.0589     0.310       1.201e+00   0.000e+00   1.000e+00   8.221e-02   2.680e-04   3.683e+02   0.999       1           
187          53.039467   -27.923144  0.0000      752746      53.039478   -27.922961  23.5657     0.661       6.235e-02   0.000e+00   1.000e+00   1.708e-01   1.844e-03   5.777e+00   0.956       1           
189          53.039984   -27.798423  0.0000      932499      53.039918   -27.798542  27.4851     0.490       3.425e-01   0.000e+00   1.000e+00   7.602e-02   2.861e-03   9.101e+00   0.972       1           
191          53.040592   -27.886886  0.0000      755493      53.040725   -27.887018  24.0322     0.676       5.236e-02   0.000e+00   1.000e+00   1.745e-01   2.354e-03   3.881e+00   0.936       1           
192          53.040729   -27.758199  0.0000      935611      53.040753   -27.758250  23.7035     0.202       1.938e+00   0.000e+00   1.000e+00   1.725e-01   1.991e-03   1.679e+02   0.998       1           
193          53.040751   -27.745057  0.0000      936718      53.040757   -27.745191  19.2070     0.483       3.662e-01   0.000e+00   1.000e+00   2.827e-02   5.291e-05   1.957e+02   0.999       1           
194          53.040906   -27.836043  0.0000      747883      53.040956   -27.836048  24.2425     0.180       2.085e+00   0.000e+00   1.000e+00   1.742e-01   2.589e-03   1.402e+02   0.998       1           
198          53.042504   -27.865544  0.0000      757374      53.042708   -27.865649  25.0585     0.826       7.429e-03   0.000e+00   1.000e+00   1.626e-01   3.411e-03   3.541e-01   0.571       1           
199          53.043270   -27.892320  0.0000      755209      53.043218   -27.892494  22.5604     0.656       6.600e-02   0.000e+00   1.000e+00   1.441e-01   9.458e-04   1.005e+01   0.974       1           
201          53.044089   -27.784987  0.0000      933520      53.044092   -27.785124  23.3864     0.494       3.326e-01   0.000e+00   1.000e+00   1.678e-01   1.659e-03   3.364e+01   0.992       1           
203          53.044577   -27.801912  0.0000      932266      53.044685   -27.802026  24.3610     0.566       1.705e-01   0.000e+00   1.000e+00   1.735e-01   2.721e-03   1.087e+01   0.976       1           
205          53.044878   -27.774331  0.0000      934292      53.044988   -27.774447  25.0785     0.574       1.575e-01   0.000e+00   1.000e+00   1.621e-01   3.427e-03   7.453e+00   0.965       1           
206          53.044914   -27.709589  0.0000      939841      53.044865   -27.709691  21.3577     0.407       6.548e-01   0.000e+00   1.000e+00   9.438e-02   3.500e-04   1.766e+02   0.998       1           
207          53.045507   -27.728675  0.0000      938025      53.045502   -27.728709  23.0145     0.122       2.428e+00   0.000e+00   1.000e+00   1.589e-01   1.307e-03   2.953e+02   0.999       1           
208          53.045511   -27.737467  0.0000      937239      53.045507   -27.737559  22.3572     0.332       1.061e+00   0.000e+00   1.000e+00   1.363e-01   8.096e-04   1.787e+02   0.999       1           
209          53.045523   -27.789641  0.0000      933192      53.045530   -27.789710  21.3079     0.251       1.600e+00   0.000e+00   1.000e+00   9.231e-02   3.349e-04   4.409e+02   0.999       1           
210          53.045692   -27.815548  0.0000      934814      53.045788   -27.815681  25.7127     0.591       1.328e-01   0.000e+00   1.000e+00   1.441e-01   3.791e-03   5.046e+00   0.950       1           
