#OutID       RAout       DECout      mag_out     InID        RAin        DECin       mag_in      r           f(r)        df          f(df)       q(m)        n(m)        LR          Rel         flag        
73           53.112387   -27.685369  0.0000      929219      53.114065   -27.684620  22.6067     6.615       4.712e-05   0.000e+00   1.000e+00   3.649e-03   1.960e-03   8.771e-05   0.000       0           
73           53.112387   -27.685369  0.0000      929220      53.112548   -27.684801  19.5071     2.126       2.469e-02   0.000e+00   1.000e+00   1.054e-01   1.836e-04   1.418e+01   0.964       1           
73           53.112387   -27.685369  0.0000      929221      53.113222   -27.683601  25.2907     7.038       1.873e-05   0.000e+00   1.000e+00   1.167e-05   6.525e-03   3.350e-08   0.000       0           
73           53.112387   -27.685369  0.0000      929222      53.113721   -27.683700  25.8817     7.693       4.018e-06   0.000e+00   1.000e+00   2.228e-06   6.783e-03   1.320e-09   0.000       0           
83           52.792887   -27.279128  0.0000      254169      52.793395   -27.279270  23.8527     1.900       2.855e-02   0.000e+00   1.000e+00   3.611e-04   4.151e-03   2.484e-03   0.001       0           
83           52.792887   -27.279128  0.0000      254170      52.794066   -27.279488  19.5018     4.438       2.193e-03   0.000e+00   1.000e+00   1.058e-01   1.829e-04   1.268e+00   0.707       1           
83           52.792887   -27.279128  0.0000      254172      52.792625   -27.281187  23.7670     7.472       6.853e-06   0.000e+00   1.000e+00   4.317e-04   3.981e-03   7.433e-07   0.000       0           
87           52.206522   -27.028820  0.0000      568138      52.205822   -27.030594  25.6150     6.867       2.740e-05   0.000e+00   1.000e+00   4.792e-06   6.740e-03   1.948e-08   0.000       0           
87           52.206522   -27.028820  0.0000      568189      52.206943   -27.030088  25.5484     4.810       1.266e-03   0.000e+00   1.000e+00   5.774e-06   6.710e-03   1.089e-06   0.000       0           
87           52.206522   -27.028820  0.0000      568353      52.208116   -27.028948  19.6220     5.758       2.557e-04   0.000e+00   1.000e+00   9.845e-02   1.990e-04   1.265e-01   0.195       1           
87           52.206522   -27.028820  0.0000      568354      52.207524   -27.027763  26.0596     5.245       6.300e-04   0.000e+00   1.000e+00   1.316e-06   6.742e-03   1.230e-07   0.000       0           
87           52.206522   -27.028820  0.0000      568375      52.204861   -27.027377  26.9644     7.922       2.271e-06   0.000e+00   1.000e+00   7.367e-08   5.738e-03   2.916e-11   0.000       0           
88           52.634938   -27.078010  0.0000      621986      52.636775   -27.077556  24.4428     6.813       3.078e-05   0.000e+00   1.000e+00   9.773e-05   5.300e-03   5.676e-07   0.000       0           
88           52.634938   -27.078010  0.0000      621987      52.635719   -27.077563  19.5023     3.237       9.537e-03   0.000e+00   1.000e+00   1.057e-01   1.830e-04   5.511e+00   0.913       1           
88           52.634938   -27.078010  0.0000      621988      52.636754   -27.078038  24.8159     6.538       5.530e-05   0.000e+00   1.000e+00   3.979e-05   5.934e-03   3.707e-07   0.000       0           
