ID,RA,DEC,RA_err,Dec_err
872,53.206938,-27.914979,0.25,0.25
873,53.208096,-27.749753,0.58,0.58
874,53.208564,-27.769343,0.67,0.67
875,53.208829,-27.693,0.46,0.46
876,53.209309,-27.881104,0.19,0.19
877,53.211196,-27.908297,0.63,0.63
878,53.211214,-27.873718,0.66,0.66
879,53.213762,-27.741578,0.49,0.49
880,53.213915,-27.928973,0.51,0.51
881,53.21429,-27.79639,0.52,0.52
882,53.214397,-27.978467,1.06,1.06
883,53.214858,-27.838257,0.58,0.58
884,53.215105,-27.866019,0.56,0.56
885,53.215183,-27.870262,0.34,0.34
886,53.215207,-27.7875,0.5,0.5
887,53.215711,-27.830842,0.53,0.53
888,53.216029,-27.708162,0.38,0.38
889,53.216307,-27.743335,0.45,0.45
890,53.216491,-27.82148,0.7,0.7
891,53.21687,-27.740361,0.48,0.48
892,53.217536,-27.807251,0.58,0.58
893,53.217963,-27.761632,0.47,0.47
894,53.218191,-27.765736,0.4,0.4
895,53.219223,-27.710795,0.49,0.49
896,53.219892,-27.727252,0.61,0.61
897,53.220024,-27.868654,0.61,0.61
898,53.220305,-27.855487,0.18,0.18
899,53.220857,-27.755272,0.58,0.58
900,53.220946,-27.874563,0.62,0.62
901,53.224337,-27.824325,0.72,0.72
902,53.224899,-27.900523,0.68,0.68
903,53.226011,-27.817739,0.52,0.52
904,53.227251,-27.750408,0.23,0.23
905,53.228745,-27.751674,0.28,0.28
906,53.229942,-27.850762,0.46,0.46
907,53.229979,-27.906698,0.73,0.73
908,53.23025,-27.918548,0.77,0.77
909,53.231273,-27.797691,0.25,0.25
910,53.231332,-27.851711,0.47,0.47
911,53.23299,-27.820158,0.52,0.52
912,53.233765,-27.811273,0.51,0.51
913,53.233939,-27.741493,0.45,0.45
914,53.234113,-27.699543,0.73,0.73
915,53.234233,-27.788109,0.62,0.62
916,53.23468,-27.809343,0.38,0.38
917,53.236046,-27.888075,0.54,0.54
918,53.236455,-27.91059,0.75,0.75
919,53.237122,-27.835583,0.56,0.56
920,53.238161,-27.759527,0.4,0.4
921,53.239953,-27.763447,0.29,0.29
922,53.24036,-27.786197,0.38,0.38
923,53.241402,-27.730614,0.53,0.53
924,53.241433,-27.741935,0.61,0.61
925,53.243834,-27.835428,0.31,0.31
926,53.244168,-27.77584,0.35,0.35
927,53.244169,-27.907459,0.85,0.85
928,53.244757,-27.807807,0.56,0.56
929,53.24586,-27.861137,0.35,0.35
930,53.245928,-27.871754,0.63,0.63
931,53.246085,-27.727637,0.24,0.24
932,53.247037,-27.756312,0.64,0.64
933,53.247142,-27.816305,0.21,0.21
934,53.247823,-27.947206,0.77,0.77
935,53.248664,-27.841828,0.3,0.3
936,53.248909,-27.723737,0.35,0.35
937,53.249008,-27.773955,0.22,0.22
938,53.24933,-27.796695,0.2,0.2
939,53.249428,-27.8619,0.6,0.6
940,53.250065,-27.823768,0.42,0.42
941,53.252455,-27.962423,0.64,0.64
942,53.253125,-27.815979,0.47,0.47
943,53.253248,-27.922373,0.38,0.38
944,53.254519,-27.704851,0.83,0.83
945,53.25505,-27.739096,0.38,0.38
946,53.255549,-27.678773,0.73,0.73
947,53.256179,-27.695038,0.38,0.38
948,53.25639,-27.761767,0.23,0.23
949,53.257069,-27.97177,0.43,0.43
950,53.257615,-27.83608,0.5,0.5
951,53.258634,-27.831686,0.64,0.64
952,53.260981,-27.806338,0.22,0.22
953,53.260992,-27.759734,0.52,0.52
954,53.261412,-27.720896,0.79,0.79
955,53.262576,-27.862945,0.37,0.37
956,53.262846,-27.797993,0.7,0.7
957,53.263144,-27.844951,0.77,0.77
958,53.263662,-27.885052,0.57,0.57
959,53.26516,-27.755171,0.24,0.24
960,53.265294,-27.72517,0.6,0.6
961,53.265396,-27.736239,0.43,0.43
962,53.26556,-27.791515,0.48,0.48
963,53.265643,-27.802847,0.42,0.42
964,53.26593,-27.840577,0.5,0.5
965,53.26734,-27.815965,0.51,0.51
966,53.267649,-27.773505,0.54,0.54
967,53.26855,-27.932783,1.21,1.21
968,53.270058,-27.792142,0.37,0.37
969,53.270196,-27.854925,0.67,0.67
970,53.273544,-27.870678,0.5,0.5
971,53.274599,-27.780683,0.29,0.29
972,53.275949,-27.727256,0.78,0.78
973,53.277519,-27.82561,0.62,0.62
974,53.279381,-27.767727,0.55,0.55
975,53.280018,-27.777659,0.65,0.65
976,53.280119,-27.802304,0.6,0.6
977,53.280184,-27.798732,0.51,0.51
978,53.280471,-27.742336,0.65,0.65
979,53.281746,-27.857515,0.27,0.27
980,53.283416,-27.836816,0.68,0.68
981,53.284121,-27.84249,0.41,0.41
982,53.285186,-27.748931,0.59,0.59
983,53.286642,-27.71511,0.46,0.46
984,53.287042,-27.693825,0.76,0.76
985,53.288522,-27.747128,0.44,0.44
986,53.289622,-27.767582,0.31,0.31
987,53.290475,-27.80045,0.66,0.66
988,53.292521,-27.811629,0.28,0.28
989,53.292884,-27.833098,0.68,0.68
990,53.295918,-27.792958,0.71,0.71
991,53.296166,-27.724829,0.96,0.96
992,53.297105,-27.720251,0.86,0.86
993,53.29968,-27.780559,0.79,0.79
994,53.302194,-27.776362,0.75,0.75
995,53.302231,-27.875268,0.59,0.59
996,53.302327,-27.930989,0.72,0.72
997,53.302896,-27.762599,0.76,0.76
998,53.313985,-27.752239,0.77,0.77
999,53.315679,-27.817304,0.96,0.96
1000,53.317509,-27.844541,0.95,0.95
1001,53.320854,-27.871289,0.83,0.83
1002,53.331725,-27.83088,0.62,0.62
1003,53.333118,-27.80735,1.07,1.07
1004,53.333246,-27.84228,1.06,1.06
1005,53.335739,-27.819757,0.9,0.9
1006,53.336005,-27.78144,1.28,1.28
1007,53.336873,-27.798383,0.88,0.88
1008,53.346379,-27.771003,1.14,1.14
1,52.925294,-27.763536,1.09,1.09
2,52.936641,-27.790331,1.03,1.03
3,52.950038,-27.771467,0.88,0.88
4,52.975983,-27.732096,0.77,0.77
5,53.001139,-27.795137,0.76,0.76
6,53.001427,-27.769924,0.94,0.94
7,53.002401,-27.832921,0.71,0.71
8,53.0206,-27.700912,0.9,0.9
9,53.025982,-27.782495,0.75,0.75
10,53.029255,-27.841719,0.78,0.78
11,53.051355,-27.682834,0.78,0.78
12,53.055647,-27.943497,0.96,0.96
13,53.059108,-27.821001,0.75,0.75
14,53.06365,-27.743901,0.59,0.59
15,53.068408,-27.953169,1.06,1.06
16,53.072068,-27.932214,0.84,0.84
17,53.072348,-27.802438,0.61,0.61
18,53.076422,-27.690053,0.68,0.68
19,53.079737,-27.661921,0.79,0.79
20,53.080126,-27.808106,0.7,0.7
21,53.085121,-27.808192,0.57,0.57
22,53.107598,-27.680043,0.65,0.65
23,53.111019,-27.79956,0.55,0.55
24,53.111492,-27.873836,0.82,0.82
25,53.112604,-28.000181,1.78,1.78
26,53.113646,-27.914381,0.66,0.66
27,53.116034,-27.803106,0.47,0.47
28,53.120199,-27.808365,0.45,0.45
29,53.130445,-27.762336,0.66,0.66
30,53.13431,-27.716402,0.88,0.88
31,53.139257,-27.844568,0.6,0.6
32,53.14066,-27.738163,0.67,0.67
33,53.141662,-27.880604,0.59,0.59
34,53.142151,-27.813671,0.51,0.51
35,53.142256,-27.865251,0.66,0.66
36,53.167609,-27.78971,0.77,0.77
37,53.169168,-27.719145,0.71,0.71
38,53.178221,-27.792733,0.66,0.66
39,53.181554,-27.729262,0.87,0.87
40,53.193726,-27.9536,1.03,1.03
41,53.195444,-27.651143,1.06,1.06
42,53.198099,-27.878489,0.64,0.64
43,53.219282,-27.811599,0.58,0.58
44,53.253807,-27.848194,0.8,0.8
45,53.269712,-27.745844,0.75,0.75
46,53.290348,-27.735751,0.88,0.88
47,53.307822,-27.740008,1.2,1.2
