#ID,RA,DEC,RA_err,Dec_err
622.000000,52.281273,-27.693854,0.001695,0.001695
626.000000,53.162159,-28.447853,0.001451,0.001451
639.000000,53.291841,-28.464519,0.001291,0.001291
646.000000,52.319159,-27.089245,0.001558,0.001558
656.000000,53.037773,-27.513657,0.001525,0.001525
662.000000,52.476019,-27.289719,0.002112,0.002112
675.000000,52.404555,-28.398771,0.001270,0.001270
769.000000,52.313987,-27.543169,0.001537,0.001537
770.000000,52.390176,-27.678427,0.001645,0.001645
771.000000,52.489221,-27.803379,0.002155,0.002155
785.000000,53.013902,-27.475493,0.003684,0.003684
791.000000,53.272771,-27.011534,0.001288,0.001288
793.000000,53.279615,-27.371342,0.002698,0.002698
803.000000,52.330156,-28.490871,0.001491,0.001491
842.000000,52.374660,-27.365951,0.001474,0.001474
845.000000,52.189805,-27.186975,0.001726,0.001726
847.000000,52.753838,-27.856280,0.001566,0.001566
853.000000,52.604425,-27.231258,0.001421,0.001421
856.000000,52.869510,-28.173186,0.001958,0.001958
858.000000,52.864295,-28.082349,0.001620,0.001620
871.000000,52.916295,-28.329620,0.001894,0.001894
873.000000,52.725054,-28.377059,0.001602,0.001602
878.000000,52.748599,-27.436078,0.002137,0.002137
881.000000,52.968971,-28.304636,0.001734,0.001734
883.000000,52.942309,-28.191406,0.001322,0.001322
886.000000,52.962805,-27.962482,0.001625,0.001625
895.000000,52.901589,-27.577940,0.001547,0.001547
906.000000,52.544478,-28.338446,0.001372,0.001372
924.000000,52.641023,-27.457785,0.001535,0.001535
972.000000,52.744983,-28.491063,0.001980,0.001980
973.000000,52.347189,-28.309941,0.001809,0.001809
977.000000,53.298312,-28.196774,0.001581,0.001581
1005.000000,52.830239,-27.406057,0.001539,0.001539
1040.000000,52.293844,-27.812610,0.002406,0.002406
1073.000000,53.113206,-27.595591,0.005960,0.005960
1084.000000,52.842406,-27.231553,0.001566,0.001566
1138.000000,52.334753,-27.243826,0.001760,0.001760
1143.000000,52.432633,-27.698729,0.001840,0.001840
1157.000000,52.630143,-27.579606,0.001645,0.001645
1187.000000,52.668572,-27.702842,0.001647,0.001647
1188.000000,52.889113,-28.209224,0.001804,0.001804
1191.000000,52.213041,-27.521762,0.001835,0.001835
1192.000000,52.963578,-28.217763,0.001640,0.001640
1195.000000,52.482422,-28.157865,0.001785,0.001785
1222.000000,53.081578,-27.351089,0.002012,0.002012
1228.000000,52.845906,-27.017540,0.001650,0.001650
1250.000000,52.718611,-27.823571,0.001742,0.001742
51.000000,53.790121,-28.549468,0.000590,0.000590
89.000000,53.646865,-28.608517,0.001130,0.001130
136.000000,53.471993,-28.507105,0.001000,0.001000
196.000000,53.867049,-28.533553,0.001918,0.001918
197.000000,53.895710,-28.528716,0.002340,0.002340
229.000000,52.742780,-28.599968,0.001239,0.001239
261.000000,53.497379,-28.633952,0.002755,0.002755
296.000000,53.921786,-28.571223,0.001106,0.001106
352.000000,53.022719,-28.624566,0.001270,0.001270
460.000000,53.125374,-28.510869,0.001477,0.001477
461.000000,53.025865,-28.531496,0.001346,0.001346
462.000000,53.246830,-28.582346,0.001141,0.001141
499.000000,52.371074,-28.557036,0.001183,0.001183
689.000000,53.813285,-28.551982,0.001286,0.001286
772.000000,52.159898,-28.504348,0.002445,0.002445
950.000000,53.471122,-28.567984,0.001770,0.001770
1272.000000,52.342774,-28.510115,0.001766,0.001766
7.000000,53.382530,-27.154525,0.000325,0.000325
15.000000,53.847822,-28.123263,0.000540,0.000540
24.000000,53.457438,-28.379145,0.000517,0.000517
38.000000,53.554117,-28.416492,0.000758,0.000758
72.000000,53.853511,-28.336451,0.000846,0.000846
94.000000,53.352633,-27.430498,0.000757,0.000757
108.000000,53.914263,-27.528236,0.000904,0.000904
128.000000,53.748225,-27.499330,0.000997,0.000997
134.000000,53.779101,-27.881392,0.000850,0.000850
147.000000,53.648559,-28.470152,0.001211,0.001211
154.000000,53.656612,-27.973042,0.001053,0.001053
155.000000,53.661650,-27.987828,0.000985,0.000985
171.000000,53.693768,-27.613330,0.000940,0.000940
184.000000,53.963459,-28.169275,0.000998,0.000998
204.000000,53.882386,-27.306048,0.001199,0.001199
239.000000,53.862740,-27.188949,0.000989,0.000989
242.000000,53.549847,-27.340420,0.001191,0.001191
243.000000,53.547378,-27.320232,0.001333,0.001333
259.000000,53.394859,-28.294013,0.001399,0.001399
294.000000,53.406060,-27.479973,0.001559,0.001559
296.000000,53.530979,-27.007697,0.001114,0.001114
307.000000,53.781001,-27.191455,0.001479,0.001479
337.000000,53.901443,-27.719122,0.001467,0.001467
346.000000,53.515651,-27.941897,0.001527,0.001527
364.000000,53.673309,-27.016317,0.001027,0.001027
366.000000,53.408191,-27.446920,0.001390,0.001390
367.000000,53.593576,-27.714259,0.001189,0.001189
373.000000,53.372006,-27.944356,0.002176,0.002176
